ma_vt,ten_vt,don_gia ,nha_may,don_gia,nhom_hang
PPKH0001,Thuốc lá Canyon Vanila 1/500,,Khatoco,,
PPKH0004,Thuốc lá War Horse đỏ 1/500,,Khatoco,,
PPKH0005,Thuốc lá War Horse xanh 1/500,,Khatoco,,
PPKH0006,Thuốc lá White Horse 20s 1/500,,Khatoco,,
PPKH0007,Thuốc lá White Horse Demi 20s 1/500,,Khatoco,,
PPKH0008,Thuốc lá Yett 1/500,,Khatoco,,
PPKH0009,Thuốc lá War horse nâu 1/500,,Khatoco,,
PPKH0013,Thuốc lá Yett Xanh (SEKSL94),,Khatoco,,
PPKH0014,Thuốc Yett King size xanh,,Khatoco,,
PPKH0015,Thuốc lá Canyon Vanila Slim,,Khatoco,,
PPKH0016,Thuốc lá Gold Lion,,Khatoco,,
PPKH0017,Thuốc Rave Slim Bluce,,Khatoco,,
PPKH0018,Thuốc Nha Trang Khatoco xanh,,Khatoco,,
PPKH0019,Thuốc Yett Demi xanh,,Khatoco,,
PPKH0020,Thuốc War horse Blueberry Menthol,,Khatoco,,
PPKH0021,Thuốc White Horse Blaze,,Khatoco,,
PPKH0022,Thuốc Yett Slim,,Khatoco,,
PPKH0023,Thuốc Báo Leopard slim cam bạc hà,,Khatoco,,
PPKH0024,Thuốc lá điếu đầu lọc Yett Demi Mentholl ( 20 điếu/bao ),,Khatoco,,
PPMBR1560001,Thuốc lá Marlboro Red,,Marlboro,,
PPMBR1560002,Thuốc lá Marlboro Gold,,Marlboro,,
PPMBR1560003,Thuốc lá Marlboro Flavor Code,,Marlboro,,
PPMBR1560004,Thuốc lá Marlboro Demi Touch,,Marlboro,,
PPMBR1560005,Thuốc lá Marlboro Vista+ Oasis,,Marlboro,,
PPMBR1560006,Thuốc lá Marlboro Slim Touch,,Marlboro,,
PPBT1560001,Bastos xanh,,Bastos,,
PPBT1560002,Bastos đỏ,,Bastos,,
PPBT1560003,Donagold nai vàng,,Bastos,,
PPBT1560004,Bastos đỏ 10.000 đồng Kingsize,,Bastos,,
PPBT1560005,NEXT (SS-MENTHOL),,Bastos,,
PPBT1560006,DONA GOLD 999 Kingsize,,Bastos,,
PPBT1560007,DONA GOLD 999 ( SUPER QUEENSIZE ),,Bastos,,
PPBT1560008,NEXT ( SS - LUCKY ),,Bastos,,
PPBT1560009,Bastos Blue Demi,,Bastos,,
PPBT1560010,MILLION Watermelon,,Bastos,,
PPMN0012,Thuốc lá bao Camel Caster Black Tea,,Miền Nam,,
PPMN0013,Thuốc lá bao Camel Compact Caster,,Miền Nam,,
PPMN0014,Thuốc lá bao Camel Compact Activate Melon,,Miền Nam,,
PPMN0015,Thuốc lá điếu đầu lọc Camel 1913 Legend The Bold Story,,Miền Nam,,
PPMN0016,Thuốc lá điếu đầu lọc Camel 1913 Legend The Smooth Story,,Miền Nam,,
PPMN0017,Thuốc lá điếu đầu lọc Camel 1913 Legend Hương trái cây,,Miền Nam,,
PPSG0001,Thuốc lá Era đỏ 1/500,,Sài Gòn,,
PPSG0002,Thuốc lá Era menthol 1/500,,Sài Gòn,,
PPSG0003,Thuốc lá ĐLXK BC 1/500,,Sài Gòn,,
